Año,Trimestre,IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones,Ingresos (miles de pesos)
2022,3,,,,,,67055930
2022,2,,,,,,60335724
2022,1,,,,,,55589997
2021,4,,,,,,45467887
2021,3,,,,,,42999944
2021,2,,,,,,38239667
2021,1,,,,,,36676371
2020,4,,,,,,33539703
2020,3,,,,,,31997445
2020,2,,,,,,32102476
2020,1,,,,,,29946216
2019,4,,,,,,24169251
2019,3,,,,,,21652748
2019,2,,,,,,20743118
2019,1,,,,,,20207414
2018,4,,,,,,16637687
2018,3,,,,,,15410981
2018,2,251989.0,1169.0,23.54,28.8,,14319467
2018,1,249554.0,1083.0,19.68,24.26,11975804.0,13171459
2017,4,246524.0,1014.0,17.54,20.16,11533613.0,11226127
2017,3,246819.0,963.0,17.28,18.08,10937240.0,10065998
2017,2,244955.0,925.0,15.74,17.97,10595155.0,9678647
2017,1,243801.0,880.0,15.68,16.17,9157377.0,8701201
2016,4,241432.0,833.0,15.45,16.46,8942135.0,7483980
2016,3,241428.0,791.0,14.95,15.94,8448890.0,6912442
2016,2,241038.0,751.0,14.23,15.39,8401125.0,6534241
2016,1,238132.0,697.0,14.48,14.7,6962845.0,5936845
2015,4,236525.0,621.0,10.18,14.97,6552140.0,5376899
2015,3,237945.0,584.0,9.25,15.17,6221731.0,5153739
2015,2,238638.0,549.0,8.96,15.06,5951479.0,4701791
2015,1,236119.0,518.0,8.69,12.72,5092694.0,4876385
2014,4,234812.0,491.0,8.51,13.24,5010564.0,3950441
2014,3,238031.0,461.0,8.3,13.78,4685503.0,3478638
2014,2,238343.0,433.0,8.06,13.44,4702630.0,3270816
2014,1,236293.0,402.0,7.6,11.14,3917649.0,2984054
