Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada),Ingresos (miles de pesos),IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones,Banda ancha fija,Dial up,Total
2022,3,76.64,23.95,62.46,67055930,,,,,,11078691,12437,11091128
2022,2,75.97,23.72,58.44,60335724,,,,,,10946248,12436,10958684
2022,1,73.88,23.05,55.11,55589997,,,,,,10611390,12619,10624009
2021,4,73.18,22.81,52.34,45467887,,,,,,10476933,12861,10489794
2021,3,70.58,21.98,48.46,42999944,,,,,,10075184,10357,10085541
2021,2,69.24,21.55,45.63,38239667,,,,,,9852702,10382,9863084
2021,1,67.95,21.13,43.11,36676371,,,,,,9637956,10016,9647972
2020,4,67.62,21.01,42.36,33539703,,,,,,9561546,10016,9571562
2020,3,66.31,20.59,40.67,31997445,,,,,,9346183,10016,9356199
2020,2,64.21,19.92,38.32,32102476,,,,,,9021040,10016,9031056
2020,1,62.86,19.48,37.52,29946216,,,,,,8802435,9991,8812426
2019,4,62.92,19.49,28.26,24169251,,,,,,8783053,10128,8793181
2019,3,65.79,20.36,24.18,21652748,,,,,,9142891,21793,9164684
2019,2,64.53,19.96,20.33,20743118,,,,,,8938427,21754,8960181
2019,1,62.48,19.31,17.38,20207414,,,,,,8626323,21812,8648135
2018,4,61.42,18.97,15.95,16637687,,,,,,8451841,21814,8473655
2018,3,60.69,18.73,15.36,15410981,,,,,,8320223,26812,8347035
2018,2,59.16,18.24,13.85,14319467,251989.0,1169.0,23.54,28.8,,8083533,26911,8110444
2018,1,58.82,18.12,13.22,13171459,249554.0,1083.0,19.68,24.26,11975804.0,8009981,27072,8037053
2017,4,57.78,17.79,12.01,11226127,246524.0,1014.0,17.54,20.16,11533613.0,7842778,27444,7870222
2017,3,56.9,17.51,8.34,10065998,246819.0,963.0,17.28,18.08,10937240.0,7696594,28349,7724943
2017,2,54.9,16.88,7.16,9678647,244955.0,925.0,15.74,17.97,10595155.0,7401134,28530,7429664
2017,1,54.16,16.64,6.62,8701201,243801.0,880.0,15.68,16.17,9157377.0,7277314,28540,7305854
2016,4,53.94,16.56,6.34,7483980,241432.0,833.0,15.45,16.46,8942135.0,7223128,28545,7251673
2016,3,53.73,16.5,5.94,6912442,241428.0,791.0,14.95,15.94,8448890.0,7178340,28610,7206950
2016,2,53.34,16.37,5.42,6534241,241038.0,751.0,14.23,15.39,8401125.0,7097604,32475,7130079
2016,1,51.85,15.9,5.08,5936845,238132.0,697.0,14.48,14.7,6962845.0,6874704,32652,6907356
2015,4,52.63,16.12,4.99,5376899,236525.0,621.0,10.18,14.97,6552140.0,6952289,32542,6984831
2015,3,52.46,16.05,4.79,5153739,237945.0,584.0,9.25,15.17,6221731.0,6902267,32801,6935068
2015,2,51.76,15.82,4.55,4701791,238638.0,549.0,8.96,15.06,5951479.0,6783279,32909,6816188
2015,1,51.36,15.68,4.35,4876385,236119.0,518.0,8.69,12.72,5092694.0,6699714,38018,6737732
2014,4,50.5,15.39,4.16,3950441,234812.0,491.0,8.51,13.24,5010564.0,6559172,39324,6598496
2014,3,50.67,15.43,3.87,3478638,238031.0,461.0,8.3,13.78,4685503.0,6559264,36007,6595271
2014,2,49.86,15.16,3.76,3270816,238343.0,433.0,8.06,13.44,4702630.0,6428329,36139,6464468
2014,1,49.55,15.05,3.62,2984054,236293.0,402.0,7.6,11.14,3917649.0,6362108,36290,6398398
