Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Ingresos (miles de pesos),IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones
2022,3,1395277,6031970,2871541,557110,235230,11091128,67055930,,,,,
2022,2,1468333,5979214,2723285,556243,231609,10958684,60335724,,,,,
2022,1,1533240,6073426,2219533,545814,251996,10624009,55589997,,,,,
2021,4,1657615,5984240,2072236,523107,252596,10489794,45467887,,,,,
2021,3,1950631,5826257,1566048,492415,250190,10085541,42999944,,,,,
2021,2,2018587,5641731,1472246,476968,253552,9863084,38239667,,,,,
2021,1,2175211,5424782,1362976,434548,250455,9647972,36676371,,,,,
2020,4,2213949,5371824,1311199,421554,253036,9571562,33539703,,,,,
2020,3,2263889,5259351,1170879,413259,248821,9356199,31997445,,,,,
2020,2,2295533,5005115,1106725,376667,247016,9031056,32102476,,,,,
2020,1,2299457,4903674,1047817,352333,209145,8812426,29946216,,,,,
2019,4,2414575,4883869,941295,340144,213298,8793181,24169251,,,,,
2019,3,2909805,4800091,852221,338241,264326,9164684,21652748,,,,,
2019,2,2990457,4635575,760794,308027,265328,8960181,20743118,,,,,
2019,1,3132789,4435439,637099,276419,166389,8648135,20207414,,,,,
2018,4,3329027,4313831,388013,264299,178485,8473655,16637687,,,,,
2018,3,3521447,4238171,247366,246181,93870,8347035,15410981,,,,,
2018,2,3557216,4038141,226285,194267,94535,8110444,14319467,251989.0,1169.0,24.0,29.0,
2018,1,3574294,3981129,217460,165300,98870,8037053,13171459,249554.0,1083.0,20.0,24.0,11975804.0
2017,4,3584311,3818157,211425,155775,100554,7870222,11226127,246524.0,1014.0,18.0,20.0,11533613.0
2017,3,3622575,3670221,193964,106443,131740,7724943,10065998,246819.0,963.0,17.0,18.0,10937240.0
2017,2,3723518,3383434,180777,85813,56122,7429664,9678647,244955.0,925.0,16.0,18.0,10595155.0
2017,1,3708898,3276251,180146,84813,55746,7305854,8701201,243801.0,880.0,16.0,16.0,9157377.0
2016,4,3722794,3210602,178070,85119,55088,7251673,7483980,241432.0,833.0,15.0,16.0,8942135.0
2016,3,3776442,3124855,169898,81455,54300,7206950,6912442,241428.0,791.0,15.0,16.0,8448890.0
2016,2,3782085,3035272,167788,85452,59482,7130079,6534241,241038.0,751.0,14.0,15.0,8401125.0
2016,1,3792493,2806359,164371,85370,58763,6907356,5936845,238132.0,697.0,14.0,15.0,6962845.0
2015,4,3803024,2898226,139187,85726,58668,6984831,5376899,236525.0,621.0,10.0,15.0,6552140.0
2015,3,3788696,2840203,162663,84530,58976,6935068,5153739,237945.0,584.0,9.0,15.0,6221731.0
2015,2,3767821,2756294,150839,82077,59157,6816188,4701791,238638.0,549.0,9.0,15.0,5951479.0
2015,1,3756153,2668248,168188,79098,66045,6737732,4876385,236119.0,518.0,9.0,13.0,5092694.0
2014,4,3764038,2536219,149682,76984,71573,6598496,3950441,234812.0,491.0,9.0,13.0,5010564.0
2014,3,3714764,2569868,155494,85096,70049,6595271,3478638,238031.0,461.0,8.0,14.0,4685503.0
2014,2,3708882,2461670,149363,72405,72148,6464468,3270816,238343.0,433.0,8.0,13.0,4702630.0
2014,1,3697066,2407330,150323,70749,72930,6398398,2984054,236293.0,402.0,8.0,11.0,3917649.0
