Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Mbps (Media de bajada)
2022,3,Buenos Aires,78.11,26,70.19
2022,3,Capital Federal,122.28,50,101.05
2022,3,Catamarca,65.33,17,60.99
2022,3,Chaco,43.86,12,53.21
2022,3,Chubut,84.38,26,15.57
2022,3,Córdoba,88.31,27,56.32
2022,3,Corrientes,48.21,13,45.07
2022,3,Entre Ríos,63.67,19,42.49
2022,3,Formosa,43.76,11,30.35
2022,3,Jujuy,58.91,15,32.43
2022,3,La Pampa,96.59,32,18.1
2022,3,La Rioja,80.66,21,44.3
2022,3,Mendoza,51.03,14,34.16
2022,3,Misiones,51.82,14,49.3
2022,3,Neuquén,80.37,24,47.81
2022,3,Río Negro,67.98,21,34.13
2022,3,Salta,57.76,14,41.33
2022,3,San Juan,50.8,13,15.84
2022,3,San Luis,81.74,23,19.33
2022,3,Santa Cruz,43.19,13,12.6
2022,3,Santa Fe,78.55,25,45.15
2022,3,Santiago Del Estero,47.98,12,17.69
2022,3,Tierra Del Fuego,99.51,30,11.01
2022,3,Tucumán,61.14,15,53.36
2022,2,Buenos Aires,77.58,26,65.5
2022,2,Capital Federal,121.31,50,93.97
2022,2,Catamarca,62.4,16,56.56
2022,2,Chaco,43.79,12,50.61
2022,2,Chubut,83.19,26,14.91
2022,2,Córdoba,87.48,27,53.51
2022,2,Corrientes,48.35,13,43.31
2022,2,Entre Ríos,63.9,19,40.03
2022,2,Formosa,43.42,11,28.47
2022,2,Jujuy,57.32,15,29.39
2022,2,La Pampa,92.98,31,16.07
2022,2,La Rioja,80.14,21,43.28
2022,2,Mendoza,49.39,14,29.72
2022,2,Misiones,51.0,14,46.23
2022,2,Neuquén,80.02,24,46.53
2022,2,Río Negro,67.85,21,33.26
2022,2,Salta,57.54,14,38.77
2022,2,San Juan,49.46,13,14.44
2022,2,San Luis,81.76,23,19.32
2022,2,Santa Cruz,43.15,13,11.81
2022,2,Santa Fe,77.9,24,42.01
2022,2,Santiago Del Estero,47.7,12,16.34
2022,2,Tierra Del Fuego,99.86,30,10.97
2022,2,Tucumán,59.31,15,50.09
2022,1,Buenos Aires,76.08,26,62.51
2022,1,Capital Federal,111.8,46,88.22
2022,1,Catamarca,58.21,15,51.22
2022,1,Chaco,44.06,12,45.84
2022,1,Chubut,88.05,27,13.4
2022,1,Córdoba,85.76,26,49.89
2022,1,Corrientes,47.64,13,38.11
2022,1,Entre Ríos,63.7,19,35.59
2022,1,Formosa,34.96,9,30.28
2022,1,Jujuy,58.06,15,27.69
2022,1,La Pampa,91.66,30,14.84
2022,1,La Rioja,78.77,21,41.37
2022,1,Mendoza,48.74,14,26.2
2022,1,Misiones,49.04,13,41.87
2022,1,Neuquén,74.17,22,43.05
2022,1,Río Negro,67.04,21,31.09
2022,1,Salta,56.11,14,36.71
2022,1,San Juan,43.55,11,11.99
2022,1,San Luis,80.72,23,20.95
2022,1,Santa Cruz,43.34,13,10.89
2022,1,Santa Fe,77.3,24,38.89
2022,1,Santiago Del Estero,47.17,12,14.5
2022,1,Tierra Del Fuego,98.29,29,10.73
2022,1,Tucumán,57.39,14,47.24
2021,4,Buenos Aires,75.66,25,60.21
2021,4,Capital Federal,111.27,46,82.95
2021,4,Catamarca,55.25,14,46.38
2021,4,Chaco,44.05,12,42.34
2021,4,Chubut,82.57,25,9.08
2021,4,Córdoba,84.51,26,46.36
2021,4,Corrientes,45.51,12,35.77
2021,4,Entre Ríos,63.16,19,33.32
2021,4,Formosa,34.45,9,28.76
2021,4,Jujuy,56.92,15,27.14
2021,4,La Pampa,89.57,30,13.85
2021,4,La Rioja,77.92,21,39.7
2021,4,Mendoza,47.51,13,22.23
2021,4,Misiones,49.06,13,38.9
2021,4,Neuquén,73.3,22,40.09
2021,4,Río Negro,65.69,20,27.2
2021,4,Salta,56.81,14,33.94
2021,4,San Juan,39.59,10,11.05
2021,4,San Luis,80.3,23,20.91
2021,4,Santa Cruz,43.05,13,8.99
2021,4,Santa Fe,77.09,24,36.02
2021,4,Santiago Del Estero,47.05,12,13.84
2021,4,Tierra Del Fuego,98.4,29,10.7
2021,4,Tucumán,55.93,14,45.15
2021,3,Buenos Aires,71.68,24,56.26
2021,3,Capital Federal,111.27,46,77.71
2021,3,Catamarca,52.71,13,43.43
2021,3,Chaco,42.96,11,39.11
2021,3,Chubut,80.71,25,8.18
2021,3,Córdoba,81.28,25,41.93
2021,3,Corrientes,44.9,12,32.17
2021,3,Entre Ríos,62.18,19,29.6
2021,3,Formosa,33.96,9,26.69
2021,3,Jujuy,55.69,14,25.98
2021,3,La Pampa,84.28,28,12.99
2021,3,La Rioja,77.26,21,38.87
2021,3,Mendoza,45.55,13,13.37
2021,3,Misiones,45.57,12,30.88
2021,3,Neuquén,69.71,21,38.34
2021,3,Río Negro,61.97,19,25.4
2021,3,Salta,55.96,14,31.21
2021,3,San Juan,39.46,10,7.04
2021,3,San Luis,79.87,23,21.7
2021,3,Santa Cruz,43.75,13,7.69
2021,3,Santa Fe,75.02,24,33.13
2021,3,Santiago Del Estero,47.0,12,13.35
2021,3,Tierra Del Fuego,94.95,28,9.52
2021,3,Tucumán,54.64,14,42.1
2021,2,Buenos Aires,70.0,23,52.76
2021,2,Capital Federal,110.14,45,72.75
2021,2,Catamarca,52.34,13,42.19
2021,2,Chaco,43.33,12,37.4
2021,2,Chubut,72.29,22,7.68
2021,2,Córdoba,80.12,25,39.59
2021,2,Corrientes,43.54,11,30.37
2021,2,Entre Ríos,61.66,18,27.62
2021,2,Formosa,33.23,8,23.97
2021,2,Jujuy,56.18,14,25.81
2021,2,La Pampa,82.08,27,12.28
2021,2,La Rioja,76.98,20,38.53
2021,2,Mendoza,40.97,11,13.47
2021,2,Misiones,45.01,12,28.68
2021,2,Neuquén,69.14,21,36.11
2021,2,Río Negro,61.94,19,23.75
2021,2,Salta,54.93,13,29.24
2021,2,San Juan,39.28,10,6.99
2021,2,San Luis,83.48,24,21.66
2021,2,Santa Cruz,44.01,13,7.63
2021,2,Santa Fe,75.07,24,30.7
2021,2,Santiago Del Estero,46.56,12,12.72
2021,2,Tierra Del Fuego,67.89,20,8.59
2021,2,Tucumán,54.93,14,40.31
2021,1,Buenos Aires,69.11,23,50.79
2021,1,Capital Federal,108.42,45,68.29
2021,1,Catamarca,48.9,12,39.97
2021,1,Chaco,43.14,12,33.63
2021,1,Chubut,68.99,21,7.53
2021,1,Córdoba,78.59,24,36.17
2021,1,Corrientes,42.66,11,25.99
2021,1,Entre Ríos,60.44,18,23.87
2021,1,Formosa,32.73,8,20.98
2021,1,Jujuy,55.63,14,26.78
2021,1,La Pampa,81.78,27,10.73
2021,1,La Rioja,49.81,13,12.7
2021,1,Mendoza,39.15,11,12.6
2021,1,Misiones,43.17,12,25.08
2021,1,Neuquén,66.84,20,34.24
2021,1,Río Negro,60.88,19,21.92
2021,1,Salta,53.93,13,27.32
2021,1,San Juan,39.06,10,6.91
2021,1,San Luis,81.24,23,21.59
2021,1,Santa Cruz,41.65,12,7.5
2021,1,Santa Fe,73.92,23,28.13
2021,1,Santiago Del Estero,45.67,11,11.58
2021,1,Tierra Del Fuego,77.35,23,8.73
2021,1,Tucumán,54.82,14,37.98
2020,4,Buenos Aires,68.98,23,50.01
2020,4,Capital Federal,108.31,45,67.33
2020,4,Catamarca,49.41,13,37.65
2020,4,Chaco,43.03,12,32.45
2020,4,Chubut,68.35,21,7.38
2020,4,Córdoba,78.08,24,35.12
2020,4,Corrientes,42.43,11,25.45
2020,4,Entre Ríos,59.47,18,24.05
