Año,Trimestre,Provincia,Rango Velocidad,Accesos
2022,3,Buenos Aires,HASTA 512 kbps,29985
2022,3,Capital Federal,HASTA 512 kbps,517
2022,3,Catamarca,HASTA 512 kbps,71
2022,3,Chaco,HASTA 512 kbps,461
2022,3,Chubut,HASTA 512 kbps,109
2022,3,Córdoba,HASTA 512 kbps,99
2022,3,Corrientes,HASTA 512 kbps,67
2022,3,Entre Ríos,HASTA 512 kbps,107
2022,3,Formosa,HASTA 512 kbps,97
2022,3,Jujuy,HASTA 512 kbps,58
2022,3,La Pampa,HASTA 512 kbps,68
2022,3,La Rioja,HASTA 512 kbps,18
2022,3,Mendoza,HASTA 512 kbps,103
2022,3,Misiones,HASTA 512 kbps,51
2022,3,Neuquén,HASTA 512 kbps,134
2022,3,Río Negro,HASTA 512 kbps,111
2022,3,Salta,HASTA 512 kbps,114
2022,3,San Juan,HASTA 512 kbps,24
2022,3,San Luis,HASTA 512 kbps,60
2022,3,Santa Cruz,HASTA 512 kbps,52
2022,3,Santa Fe,HASTA 512 kbps,468
2022,3,Santiago Del Estero,HASTA 512 kbps,178
2022,3,Tierra Del Fuego,HASTA 512 kbps,22
2022,3,Tucumán,HASTA 512 kbps,39
2022,2,Buenos Aires,HASTA 512 kbps,30639
2022,2,Capital Federal,HASTA 512 kbps,517
2022,2,Catamarca,HASTA 512 kbps,71
2022,2,Chaco,HASTA 512 kbps,461
2022,2,Chubut,HASTA 512 kbps,109
2022,2,Córdoba,HASTA 512 kbps,99
2022,2,Corrientes,HASTA 512 kbps,67
2022,2,Entre Ríos,HASTA 512 kbps,107
2022,2,Formosa,HASTA 512 kbps,97
2022,2,Jujuy,HASTA 512 kbps,58
2022,2,La Pampa,HASTA 512 kbps,68
2022,2,La Rioja,HASTA 512 kbps,18
2022,2,Mendoza,HASTA 512 kbps,103
2022,2,Misiones,HASTA 512 kbps,51
2022,2,Neuquén,HASTA 512 kbps,134
2022,2,Río Negro,HASTA 512 kbps,111
2022,2,Salta,HASTA 512 kbps,114
2022,2,San Juan,HASTA 512 kbps,24
2022,2,San Luis,HASTA 512 kbps,60
2022,2,Santa Cruz,HASTA 512 kbps,52
2022,2,Santa Fe,HASTA 512 kbps,468
2022,2,Santiago Del Estero,HASTA 512 kbps,178
2022,2,Tierra Del Fuego,HASTA 512 kbps,22
2022,2,Tucumán,HASTA 512 kbps,39
2022,1,Buenos Aires,HASTA 512 kbps,31591
2022,1,Capital Federal,HASTA 512 kbps,527
2022,1,Catamarca,HASTA 512 kbps,71
2022,1,Chaco,HASTA 512 kbps,461
2022,1,Chubut,HASTA 512 kbps,113
2022,1,Córdoba,HASTA 512 kbps,100
2022,1,Corrientes,HASTA 512 kbps,67
2022,1,Entre Ríos,HASTA 512 kbps,107
2022,1,Formosa,HASTA 512 kbps,97
2022,1,Jujuy,HASTA 512 kbps,58
2022,1,La Pampa,HASTA 512 kbps,301
2022,1,La Rioja,HASTA 512 kbps,18
2022,1,Mendoza,HASTA 512 kbps,114
2022,1,Misiones,HASTA 512 kbps,51
2022,1,Neuquén,HASTA 512 kbps,137
2022,1,Río Negro,HASTA 512 kbps,116
2022,1,Salta,HASTA 512 kbps,114
2022,1,San Juan,HASTA 512 kbps,26
2022,1,San Luis,HASTA 512 kbps,61
2022,1,Santa Cruz,HASTA 512 kbps,51
2022,1,Santa Fe,HASTA 512 kbps,468
2022,1,Santiago Del Estero,HASTA 512 kbps,178
2022,1,Tierra Del Fuego,HASTA 512 kbps,24
2022,1,Tucumán,HASTA 512 kbps,39
2021,4,Buenos Aires,HASTA 512 kbps,37821
2021,4,Capital Federal,HASTA 512 kbps,563
2021,4,Catamarca,HASTA 512 kbps,71
2021,4,Chaco,HASTA 512 kbps,461
2021,4,Chubut,HASTA 512 kbps,126
2021,4,Córdoba,HASTA 512 kbps,100
2021,4,Corrientes,HASTA 512 kbps,67
2021,4,Entre Ríos,HASTA 512 kbps,107
2021,4,Formosa,HASTA 512 kbps,84
2021,4,Jujuy,HASTA 512 kbps,58
2021,4,La Pampa,HASTA 512 kbps,301
2021,4,La Rioja,HASTA 512 kbps,18
2021,4,Mendoza,HASTA 512 kbps,156
2021,4,Misiones,HASTA 512 kbps,51
2021,4,Neuquén,HASTA 512 kbps,140
2021,4,Río Negro,HASTA 512 kbps,156
2021,4,Salta,HASTA 512 kbps,114
2021,4,San Juan,HASTA 512 kbps,44
2021,4,San Luis,HASTA 512 kbps,62
2021,4,Santa Cruz,HASTA 512 kbps,52
2021,4,Santa Fe,HASTA 512 kbps,467
2021,4,Santiago Del Estero,HASTA 512 kbps,178
2021,4,Tierra Del Fuego,HASTA 512 kbps,26
2021,4,Tucumán,HASTA 512 kbps,39
2021,3,Buenos Aires,HASTA 512 kbps,37193
2021,3,Capital Federal,HASTA 512 kbps,295
2021,3,Catamarca,HASTA 512 kbps,71
2021,3,Chaco,HASTA 512 kbps,301
2021,3,Chubut,HASTA 512 kbps,104
2021,3,Córdoba,HASTA 512 kbps,99
2021,3,Corrientes,HASTA 512 kbps,67
2021,3,Entre Ríos,HASTA 512 kbps,107
2021,3,Formosa,HASTA 512 kbps,381
2021,3,Jujuy,HASTA 512 kbps,48
2021,3,La Pampa,HASTA 512 kbps,298
2021,3,La Rioja,HASTA 512 kbps,18
2021,3,Mendoza,HASTA 512 kbps,36
2021,3,Misiones,HASTA 512 kbps,51
2021,3,Neuquén,HASTA 512 kbps,112
2021,3,Río Negro,HASTA 512 kbps,125
2021,3,Salta,HASTA 512 kbps,101
2021,3,San Juan,HASTA 512 kbps,18
2021,3,San Luis,HASTA 512 kbps,60
2021,3,Santa Cruz,HASTA 512 kbps,50
2021,3,Santa Fe,HASTA 512 kbps,467
2021,3,Santiago Del Estero,HASTA 512 kbps,123
2021,3,Tierra Del Fuego,HASTA 512 kbps,17
2021,3,Tucumán,HASTA 512 kbps,32
2021,2,Buenos Aires,HASTA 512 kbps,37192
2021,2,Capital Federal,HASTA 512 kbps,294
2021,2,Catamarca,HASTA 512 kbps,71
2021,2,Chaco,HASTA 512 kbps,301
2021,2,Chubut,HASTA 512 kbps,104
2021,2,Córdoba,HASTA 512 kbps,99
2021,2,Corrientes,HASTA 512 kbps,67
2021,2,Entre Ríos,HASTA 512 kbps,107
2021,2,Formosa,HASTA 512 kbps,381
2021,2,Jujuy,HASTA 512 kbps,48
2021,2,La Pampa,HASTA 512 kbps,298
2021,2,La Rioja,HASTA 512 kbps,18
2021,2,Mendoza,HASTA 512 kbps,36
2021,2,Misiones,HASTA 512 kbps,51
2021,2,Neuquén,HASTA 512 kbps,112
2021,2,Río Negro,HASTA 512 kbps,125
2021,2,Salta,HASTA 512 kbps,101
2021,2,San Juan,HASTA 512 kbps,18
2021,2,San Luis,HASTA 512 kbps,60
2021,2,Santa Cruz,HASTA 512 kbps,50
2021,2,Santa Fe,HASTA 512 kbps,467
2021,2,Santiago Del Estero,HASTA 512 kbps,123
2021,2,Tierra Del Fuego,HASTA 512 kbps,17
2021,2,Tucumán,HASTA 512 kbps,32
2021,1,Buenos Aires,HASTA 512 kbps,36939
2021,1,Capital Federal,HASTA 512 kbps,135
2021,1,Catamarca,HASTA 512 kbps,71
2021,1,Chaco,HASTA 512 kbps,301
2021,1,Chubut,HASTA 512 kbps,106
2021,1,Córdoba,HASTA 512 kbps,93
2021,1,Corrientes,HASTA 512 kbps,67
2021,1,Entre Ríos,HASTA 512 kbps,105
2021,1,Formosa,HASTA 512 kbps,56
