Año,Trimestre,Provincia,Tipo Conexion,Accesos
2022,3,Buenos Aires,ADSL,339648
2022,3,Capital Federal,ADSL,140791
2022,3,Catamarca,ADSL,10010
2022,3,Chaco,ADSL,27164
2022,3,Chubut,ADSL,45377
2022,3,Córdoba,ADSL,163770
2022,3,Corrientes,ADSL,36508
2022,3,Entre Ríos,ADSL,60345
2022,3,Formosa,ADSL,14470
2022,3,Jujuy,ADSL,19257
2022,3,La Pampa,ADSL,7796
2022,3,La Rioja,ADSL,6842
2022,3,Mendoza,ADSL,37659
2022,3,Misiones,ADSL,35513
2022,3,Neuquén,ADSL,29352
2022,3,Río Negro,ADSL,35552
2022,3,Salta,ADSL,40006
2022,3,San Juan,ADSL,38570
2022,3,San Luis,ADSL,6860
2022,3,Santa Cruz,ADSL,10170
2022,3,Santa Fe,ADSL,183740
2022,3,Santiago Del Estero,ADSL,15385
2022,3,Tierra Del Fuego,ADSL,12754
2022,3,Tucumán,ADSL,77738
2022,2,Buenos Aires,ADSL,350652
2022,2,Capital Federal,ADSL,145491
2022,2,Catamarca,ADSL,11928
2022,2,Chaco,ADSL,29552
2022,2,Chubut,ADSL,45377
2022,2,Córdoba,ADSL,179181
2022,2,Corrientes,ADSL,38468
2022,2,Entre Ríos,ADSL,63794
2022,2,Formosa,ADSL,15397
2022,2,Jujuy,ADSL,20303
2022,2,La Pampa,ADSL,7796
2022,2,La Rioja,ADSL,7759
2022,2,Mendoza,ADSL,37663
2022,2,Misiones,ADSL,37208
2022,2,Neuquén,ADSL,29749
2022,2,Río Negro,ADSL,36050
2022,2,Salta,ADSL,42665
2022,2,San Juan,ADSL,38570
2022,2,San Luis,ADSL,6860
2022,2,Santa Cruz,ADSL,10170
2022,2,Santa Fe,ADSL,198492
2022,2,Santiago Del Estero,ADSL,16561
2022,2,Tierra Del Fuego,ADSL,12754
2022,2,Tucumán,ADSL,85893
2022,1,Buenos Aires,ADSL,392045
2022,1,Capital Federal,ADSL,102290
2022,1,Catamarca,ADSL,14181
2022,1,Chaco,ADSL,32391
2022,1,Chubut,ADSL,44133
2022,1,Córdoba,ADSL,195610
2022,1,Corrientes,ADSL,40462
2022,1,Entre Ríos,ADSL,67159
2022,1,Formosa,ADSL,16397
2022,1,Jujuy,ADSL,21307
2022,1,La Pampa,ADSL,8003
2022,1,La Rioja,ADSL,9103
2022,1,Mendoza,ADSL,49464
2022,1,Misiones,ADSL,39147
2022,1,Neuquén,ADSL,28443
2022,1,Río Negro,ADSL,38662
2022,1,Salta,ADSL,44714
2022,1,San Juan,ADSL,34038
2022,1,San Luis,ADSL,7987
2022,1,Santa Cruz,ADSL,10537
2022,1,Santa Fe,ADSL,213486
2022,1,Santiago Del Estero,ADSL,18118
2022,1,Tierra Del Fuego,ADSL,13031
2022,1,Tucumán,ADSL,92532
2021,4,Buenos Aires,ADSL,426325
2021,4,Capital Federal,ADSL,111360
2021,4,Catamarca,ADSL,16385
2021,4,Chaco,ADSL,35548
2021,4,Chubut,ADSL,46361
2021,4,Córdoba,ADSL,212011
2021,4,Corrientes,ADSL,42523
2021,4,Entre Ríos,ADSL,70459
2021,4,Formosa,ADSL,17211
2021,4,Jujuy,ADSL,22330
2021,4,La Pampa,ADSL,8175
2021,4,La Rioja,ADSL,10387
2021,4,Mendoza,ADSL,59842
2021,4,Misiones,ADSL,41778
2021,4,Neuquén,ADSL,29175
2021,4,Río Negro,ADSL,42037
2021,4,Salta,ADSL,46972
2021,4,San Juan,ADSL,35868
2021,4,San Luis,ADSL,8472
